id,name,partner_id/id,partner_shipping_id/id,date_order,x_studio_x_studio_job_type,x_studio_lead_source,x_studio_workiz_tech,x_studio_workiz_uuid,x_studio_workiz_link,x_studio_x_gate_snapshot,x_studio_pricing_snapshot,x_studio_notes_snapshot,order_line/product_id/name,order_line/name,order_line/price_unit,order_line/product_uom_qty
order_YS5BAJ,002463,client_1418,property_28257907,2023-11-17 08:00:00,Windows Inside & Outside Plus Screens,Home Advisor,Dan Saunders,YS5BAJ,https://app.workiz.com/root/job/YS5BAJ/1,,260,"[Job Note]: Ņext time charge 260.00 Clean Skylight with hose I think a Snowbird 220.00 with mirrors and windows and Skylight. 25, 25, 25",Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows Outside - Brush Tracks & Frames, clean windows, dry brush screens Windows only",140,1
order_DA9W3U,002462,client_1344,property_20365307,2023-10-26 14:00:00,Outside Windows and Screens,Home Advisor,Dan Saunders,DA9W3U,https://app.workiz.com/root/job/DA9W3U/1,,260/130,"[Job Note]: 2 story home

[Info]: Enter Gate off Ave 52",Outside Windows And Screens,,150,1
order_NJWIX0,002461,client_1429,property_28650986,2023-11-11 10:30:00,Outside Windows and Screens,Referral,Dan Saunders,NJWIX0,https://app.workiz.com/root/job/NJWIX0/1,,230/135 every season,"[Job Note]: Gate code: #044 Operates better in the afternoon. Dan will be at my house SO if that code doesn't work just call me and I'II come out and open the gate From local Nextdoor - Jayne Referal Jayne

[Comment]: Tip 100.00",Outside Windows And Screens,,100,1
order_H2AMYW,002460,client_1325,property_19504084,2023-10-26 16:00:00,Windows Inside & Outside Plus Screens,Thumbtack,Dan Saunders,H2AMYW,https://app.workiz.com/root/job/H2AMYW/1,,200,[Job Note]: Dial 200 Canadian - Comes down in October (In & Out) & again in Feb (out only). Very Nice Lady - gave me a Nextdoor recommendation,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows Outside - Brush Tracks & Frames, clean windows, dry brush screens",190,1
order_Q2IRNY,002458,client_1606,property_36994474,2023-11-09 08:00:00,Combination of Services,Thumbtack,Dan Saunders,Q2IRNY,https://app.workiz.com/root/job/Q2IRNY/1,,,"[Job Note]: Gate code is #1972 #1952 Gate Code 55 panes, 4 sliders, 59 panels",Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows Outside - Brush Tracks & Frames, clean windows, clean screens You have 55 panes of glass & 4 Glass Sliding Doors",475,1
order_Q2IRNY,002458,client_1606,property_36994474,2023-11-09 08:00:00,Combination of Services,Thumbtack,Dan Saunders,Q2IRNY,https://app.workiz.com/root/job/Q2IRNY/1,,,"[Job Note]: Gate code is #1972 #1952 Gate Code 55 panes, 4 sliders, 59 panels",Solar Panel Cleaning - Single Story,,5,59
order_Q2IRNY,002458,client_1606,property_36994474,2023-11-09 08:00:00,Combination of Services,Thumbtack,Dan Saunders,Q2IRNY,https://app.workiz.com/root/job/Q2IRNY/1,,,"[Job Note]: Gate code is #1972 #1952 Gate Code 55 panes, 4 sliders, 59 panels",Multiple Services Discount,10% Discount,-80,1
order_30ZJ53,002459,client_1605,property_36923561,2023-10-27 15:00:00,Windows Inside & Outside Plus Screens,Thumbtack,Dan Saunders,30ZJ53,https://app.workiz.com/root/job/30ZJ53/1,,150,"[Job Note]: Professional must travel to my address. Building height: Single-level building Additional window cleaning services: Clean interior of windows, Clean window screens and tracks Types of windows: Sliding glass doors, Windows with grids, Windows without grids Number of windows: 6 - 10 windows Zip code: 92260Small condo 3 sliding window doors 5 windows 5 screens Dates: Oct 18, Oct 19, Oct 27 Times: Early Morning (6am - 9am), Morning (9am - 12pm), Afternoon (12pm - 3pm), Late Afternoon (3pm - 6pm) Allow pro to suggest other dates",Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows Outside - Brush Tracks & Frames, clean windows, dry brush screens",150,1
order_30ZJ53,002459,client_1605,property_36923561,2023-10-27 15:00:00,Windows Inside & Outside Plus Screens,Thumbtack,Dan Saunders,30ZJ53,https://app.workiz.com/root/job/30ZJ53/1,,150,"[Job Note]: Professional must travel to my address. Building height: Single-level building Additional window cleaning services: Clean interior of windows, Clean window screens and tracks Types of windows: Sliding glass doors, Windows with grids, Windows without grids Number of windows: 6 - 10 windows Zip code: 92260Small condo 3 sliding window doors 5 windows 5 screens Dates: Oct 18, Oct 19, Oct 27 Times: Early Morning (6am - 9am), Morning (9am - 12pm), Afternoon (12pm - 3pm), Late Afternoon (3pm - 6pm) Allow pro to suggest other dates",Tip,,25,1
order_PZSTPA,002456,client_1158,property_36923460,2024-02-13 09:30:00,Windows Inside & Outside Plus Screens,EDDM,Dan Saunders,PZSTPA,https://app.workiz.com/root/job/PZSTPA/1,,145/75 4 months- Alternating,"[Job Note]: $145.00/$75 35 panels @ 5.00 = 175.00

[Info]: Mastercard should be default card",Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows Outside - Brush Tracks & Frames, clean windows, dry brush screens",145,1
